Category,Title
World,
World, YMTC   서 명예훼손 소송  기술 군사용으로 제공 안 해 
World,  바다가 희소광물 보고  망간단괴 2 3억t
World,독일서도 예외없는 한국어 열풍   직업 세대 다양화
World, 트럼프 주장 반박은 시간 낭비  힐러리  첫 TV토론 앞둔 바이든에 조언
World,마운트곡스 폭탄 결국 터졌다 비트코인 6   6만달러 붕괴 상보 
World, 하베크  EU  한 중과 경쟁하려면 힘 합해야 
World,   돼지고기 다음 카드도  만지작    EU 최종 선택은 
World, 자막뉴스     선진국이라던  의 열악한 환경    화성 참사에 자국 비판도
World,가자 전쟁 마무리 수순   하마스 이후 계획  북부서 곧 실행 
World,푸틴 예민한 반응 보인  무기 재검토    2년 전 반응 판박이  앵커리포트 
World,작년 종부세 환급 요구 6302건 1년새 267  폭증
World,콘서트장 폭우  알고 보니   관중들  격분 
World,EU 전기차 관세에   보복 예고    러 지원 관계 악화 초래 
World,한일 해저 자원 경쟁    도쿄 남해에 니켈  코발트  구리 등 2 3억t 
World,라이칭더   대만독립분자 사형 에  민주  범죄아냐 전제가 죄악  종합 
World, 우주 쓰레기가 가정집에 쿵   나사에 1억 손배소 제기
World,지중해 해변가에 앉다   이탈리아 첫 평화의 소녀상 공개
World,푸틴이 보여준  제재의 역설  새로운 유라시아 동맹 가속화
World, 더차트  한국 국가경쟁력   역대 최고  20위 독일 영국 제쳤다
World, 참패 예감  마크롱의 변  조기총선  혼란 막을 유일 선택지였다 
World,일본 대졸 초임  월 180만원 벽  깨져  초봉 거품  반발도
World, 스가 전 총리도 기시다 퇴진 압박  새 리더 나와야  종합 
World,국제유가 1  하락  소비자 신뢰지수 하락에 수요 우려 
World, 북한  러시아에 포탄 백만 발 이상 전달  트럼프 참모  미군 주둔비 올려야 
World,  엔비디아 4거래일 만에 5  급반등 시총 3조달러 회복
World,나와 대화하는  GPT 4o   한달 더 기다려야 출시 7월 말로 연기
World,초부유층에서 증가하는  패밀리 오피스   세계 금융 시장에 미칠 영향은
World,    러에 6개월 동안 포탄 160만 발 지원 
World,   나토 인태 협력 합리적     러 위협 대응에 좋은 파트너 
World,  대선후보 TV토론 4년 전  난장판  없다
